date,equipment,is_holiday,is_weekend,recorded_at,total_patients_last_7_days,total_patients_last_day,total_usage_last_7_days,total_usage_last_day,value
2024-10-07,Suction Machines,0,0,2024-10-07 02:57:00,863,125,140,19,19
2023-12-15,Ultrasound Machines,0,0,2023-12-15 23:41:00,930,127,199,31,31
2024-09-07,Infusion Pumps / Syringe Pumps,0,1,2024-09-07 23:04:00,709,104,270,40,40
2024-04-19,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,0,2024-04-19 12:08:00,899,124,293,46,46
2024-09-22,"Patient Monitors (ECG, BP, SpO2)",0,1,2024-09-22 01:07:00,962,137,447,63,63
2024-02-13,Surgical Instrument Sets,0,0,2024-02-13 22:16:00,933,127,86,12,12
2024-01-17,Surgical Instrument Sets,0,0,2024-01-17 19:42:00,799,121,124,16,16
2023-12-28,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,0,2023-12-28 21:42:00,832,123,314,45,45
2024-01-14,Crash Carts,0,1,2024-01-14 22:58:00,974,141,20,0,0
2023-01-01,IV Stands,0,1,2023-01-01 18:12:00,948,139,489,71,71
2023-01-03,CT Scanners,0,0,2023-01-03 02:03:00,938,131,99,15,15
2024-01-17,Wheelchairs,0,0,2024-01-17 14:53:00,791,112,228,34,34
2024-12-13,"Patient Monitors (ECG, BP, SpO2)",0,0,2024-12-13 01:10:00,869,122,433,60,60
2023-09-11,Ventilators,0,0,2023-09-11 09:20:00,874,121,168,20,20
2023-02-21,Operation Tables,0,0,2023-02-21 01:26:00,911,123,71,10,10
2023-06-11,Sterilization Equipment (Autoclaves),0,1,2023-06-11 10:25:00,833,119,105,16,16
2024-07-30,MRI Machines,0,0,2024-07-30 02:30:00,921,125,42,7,7
2023-06-25,Ventilators,0,1,2023-06-25 14:44:00,869,124,110,20,20
2024-07-24,Crash Carts,0,0,2024-07-24 09:55:00,913,131,0,1,1
2023-02-20,Crash Carts,0,0,2023-02-20 01:44:00,927,134,41,4,4
2024-12-19,IV Stands,0,0,2024-12-19 21:03:00,741,107,328,47,47
2023-04-22,MRI Machines,0,1,2023-04-22 13:08:00,892,125,43,7,7
2024-09-21,Suction Machines,0,1,2024-09-21 14:37:00,857,127,193,26,26
2023-09-23,Ventilators,0,1,2023-09-23 05:55:00,809,120,129,17,17
2024-08-12,Stretchers,0,0,2024-08-12 07:20:00,835,123,152,23,23
2023-04-11,MRI Machines,0,0,2023-04-11 03:18:00,835,114,88,13,13
2024-10-03,"Patient Monitors (ECG, BP, SpO2)",0,0,2024-10-03 09:39:00,931,134,433,61,61
2023-01-12,Suction Machines,0,0,2023-01-12 23:08:00,704,105,173,23,23
2023-02-22,"Patient Monitors (ECG, BP, SpO2)",0,0,2023-02-22 16:11:00,763,109,348,50,50
2024-09-22,Electrosurgical Units (Cautery),0,1,2024-09-22 03:35:00,912,125,36,6,6
2023-01-02,Operation Tables,0,0,2023-01-02 20:53:00,897,125,93,15,15
2024-11-26,Bedside Lockers,0,0,2024-11-26 12:18:00,955,141,534,76,76
2023-12-23,Crash Carts,0,1,2023-12-23 23:18:00,731,109,13,6,6
2023-03-06,Infusion Pumps / Syringe Pumps,0,0,2023-03-06 15:15:00,988,136,355,51,51
2024-06-19,Suction Machines,0,0,2024-06-19 03:46:00,820,124,188,23,23
2024-06-05,MRI Machines,0,0,2024-06-05 11:10:00,771,115,62,11,11
2024-06-06,ECG Machines,0,0,2024-06-06 16:03:00,872,131,231,34,34
2024-11-23,Crash Carts,0,1,2024-11-23 10:06:00,785,118,42,3,3
2023-08-31,Stretchers,0,0,2023-08-31 05:56:00,739,111,139,18,18
2023-05-31,Operation Tables,0,0,2023-05-31 22:58:00,985,134,72,9,9
2024-09-03,CT Scanners,0,0,2024-09-03 10:47:00,747,106,60,10,10
2023-01-25,Crash Carts,0,0,2023-01-25 21:54:00,905,130,0,0,0
2024-12-12,Defibrillators,0,0,2024-12-12 04:59:00,817,122,25,6,6
2024-11-13,Bedside Lockers,0,0,2024-11-13 04:09:00,751,106,420,62,62
2023-10-08,Stretchers,0,1,2023-10-08 21:40:00,733,109,134,19,19
2023-09-14,Surgical Instrument Sets,0,0,2023-09-14 09:46:00,891,122,81,13,13
2024-04-09,Electrosurgical Units (Cautery),0,0,2024-04-09 08:01:00,841,123,67,11,11
2023-01-18,MRI Machines,0,0,2023-01-18 18:08:00,953,130,75,13,13
2023-01-14,Suction Machines,0,1,2023-01-14 05:56:00,820,124,187,28,28
2024-06-09,"Patient Monitors (ECG, BP, SpO2)",0,1,2024-06-09 21:01:00,933,132,393,56,56
2023-09-07,Oxygen Cylinders / Central Oxygen Supply,0,0,2023-09-07 12:46:00,850,115,325,46,46
2023-08-01,Suction Machines,0,0,2023-08-01 22:14:00,756,108,110,18,18
2024-03-28,Surgical Instrument Sets,1,0,2024-03-28 01:15:00,847,120,25,6,6
2024-05-22,MRI Machines,0,0,2024-05-22 09:27:00,843,125,79,11,11
2024-08-19,"Patient Monitors (ECG, BP, SpO2)",0,0,2024-08-19 21:48:00,899,125,395,57,57
2024-05-16,Infusion Pumps / Syringe Pumps,0,0,2024-05-16 20:40:00,823,119,284,41,41
2023-10-31,Defibrillators,0,0,2023-10-31 05:02:00,806,121,52,8,8
2024-06-29,Oxygen Cylinders / Central Oxygen Supply,0,1,2024-06-29 15:05:00,846,124,388,55,55
2024-05-14,"Patient Monitors (ECG, BP, SpO2)",0,0,2024-05-14 11:58:00,934,132,390,53,53
2023-12-16,Operation Tables,0,1,2023-12-16 08:54:00,847,122,54,7,7
2023-07-25,Operation Tables,0,0,2023-07-25 04:41:00,807,116,48,7,7
2024-08-29,Surgical Lights,0,0,2024-08-29 13:01:00,697,99,63,10,10
2023-05-16,Crash Carts,0,0,2023-05-16 17:42:00,724,109,10,0,0
2023-12-06,Electrosurgical Units (Cautery),0,0,2023-12-06 09:23:00,939,133,57,9,9
2024-09-30,Anesthesia Machines,0,0,2024-09-30 05:18:00,814,118,81,10,10
2024-04-05,CT Scanners,0,0,2024-04-05 12:28:00,792,112,60,8,8
2024-09-13,IV Stands,0,0,2024-09-13 16:13:00,889,122,425,60,60
2023-06-10,Surgical Instrument Sets,0,1,2023-06-10 05:19:00,882,120,34,7,7
2023-12-20,Defibrillators,0,0,2023-12-20 06:42:00,940,139,42,5,5
2024-03-05,Bedside Lockers,0,0,2024-03-05 08:53:00,730,99,398,54,54
2024-03-01,MRI Machines,0,0,2024-03-01 09:59:00,971,132,40,6,6
2023-07-19,Surgical Instrument Sets,0,0,2023-07-19 22:04:00,821,113,98,14,14
2024-02-19,Anesthesia Machines,0,0,2024-02-19 17:31:00,794,118,38,5,5
2023-01-01,Crash Carts,0,1,2023-01-01 09:25:00,687,105,34,4,4
2023-01-09,Crash Carts,0,0,2023-01-09 22:37:00,830,125,71,8,8
2023-09-27,Defibrillators,0,0,2023-09-27 10:52:00,916,124,0,0,0
2024-10-26,Electrosurgical Units (Cautery),0,1,2024-10-26 12:24:00,846,127,113,12,12
2023-12-09,Wheelchairs,0,1,2023-12-09 05:55:00,828,117,220,31,31
2024-10-14,Electrosurgical Units (Cautery),0,0,2024-10-14 11:44:00,821,119,37,5,5
2024-08-31,Electrosurgical Units (Cautery),0,1,2024-08-31 00:30:00,806,120,72,10,10
2023-02-27,Surgical Lights,0,0,2023-02-27 01:59:00,852,116,61,10,10
2024-04-25,Crash Carts,0,0,2024-04-25 21:09:00,812,115,13,1,1
2024-08-21,Suction Machines,0,0,2024-08-21 20:57:00,896,129,117,16,16
2024-03-22,MRI Machines,0,0,2024-03-22 11:59:00,914,126,92,13,13
2024-02-09,Sterilization Equipment (Autoclaves),0,0,2024-02-09 01:25:00,866,117,107,16,16
2023-09-16,Electrosurgical Units (Cautery),0,1,2023-09-16 15:27:00,764,114,26,4,4
2023-05-26,Wheelchairs,0,0,2023-05-26 12:36:00,865,117,256,34,34
2024-03-31,MRI Machines,0,1,2024-03-31 03:40:00,772,115,55,10,10
2024-08-19,Surgical Lights,0,0,2024-08-19 16:36:00,930,135,50,7,7
2023-06-26,Oxygen Cylinders / Central Oxygen Supply,0,0,2023-06-26 19:47:00,857,126,315,46,46
2024-11-14,Crash Carts,0,0,2024-11-14 06:00:00,776,116,5,0,0
2023-07-16,Wheelchairs,0,1,2023-07-16 12:48:00,802,111,224,32,32
2023-07-02,CT Scanners,0,1,2023-07-02 16:47:00,943,132,120,16,16
2024-05-23,Electrosurgical Units (Cautery),0,0,2024-05-23 18:15:00,833,116,40,10,10
2024-11-26,Surgical Lights,0,0,2024-11-26 06:22:00,869,117,46,7,7
2023-01-28,Electrosurgical Units (Cautery),0,1,2023-01-28 13:57:00,775,114,29,4,4
2024-10-21,ECG Machines,0,0,2024-10-21 09:45:00,896,125,257,36,36
2023-02-23,CT Scanners,0,0,2023-02-23 09:00:00,888,120,107,18,18
2024-02-23,Stretchers,0,0,2024-02-23 15:38:00,801,120,136,20,20
2024-04-01,Anesthesia Machines,0,0,2024-04-01 01:39:00,684,97,67,9,9
2024-12-25,Ventilators,0,0,2024-12-25 18:43:00,839,118,153,22,22
2024-02-04,Infusion Pumps / Syringe Pumps,0,1,2024-02-04 11:36:00,832,112,275,39,39
2023-11-20,Ultrasound Machines,0,0,2023-11-20 07:38:00,793,109,190,28,28
2024-03-20,Surgical Lights,0,0,2024-03-20 20:32:00,994,137,108,13,13
2024-06-10,Infusion Pumps / Syringe Pumps,1,0,2024-06-10 13:47:00,918,127,317,44,44
2023-12-18,X-ray Machines,0,0,2023-12-18 07:32:00,758,111,254,36,36
2023-02-27,Oxygen Cylinders / Central Oxygen Supply,0,0,2023-02-27 03:59:00,770,110,306,42,42
2023-04-28,Wheelchairs,0,0,2023-04-28 07:39:00,930,129,265,39,39
2023-12-03,Ultrasound Machines,0,1,2023-12-03 20:28:00,870,122,194,28,28
2023-08-26,X-ray Machines,0,1,2023-08-26 18:44:00,884,128,293,39,39
2024-01-29,Wheelchairs,0,0,2024-01-29 01:23:00,792,114,196,29,29
2023-04-16,MRI Machines,0,1,2023-04-16 12:42:00,924,125,86,14,14
2023-06-19,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,0,2023-06-19 05:30:00,876,118,302,44,44
2024-06-19,MRI Machines,0,0,2024-06-19 21:58:00,681,97,27,6,6
2023-12-25,X-ray Machines,0,0,2023-12-25 16:44:00,841,122,260,36,36
2023-03-01,Ultrasound Machines,0,0,2023-03-01 23:33:00,875,124,215,29,29
2023-02-12,Crash Carts,0,1,2023-02-12 23:53:00,692,98,6,0,0
2023-02-09,IV Stands,0,0,2023-02-09 01:40:00,877,126,437,62,62
2023-01-31,Ultrasound Machines,0,0,2023-01-31 12:11:00,776,110,192,25,25
2024-10-04,"Patient Monitors (ECG, BP, SpO2)",0,0,2024-10-04 03:50:00,950,137,403,59,59
2024-03-10,MRI Machines,0,1,2024-03-10 04:52:00,813,113,53,8,8
2024-12-11,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,0,2024-12-11 03:09:00,719,107,243,35,35
2024-12-08,Operation Tables,0,1,2024-12-08 14:47:00,781,116,32,2,2
2024-05-06,Wheelchairs,0,0,2024-05-06 17:51:00,753,110,224,31,31
2024-10-21,Sterilization Equipment (Autoclaves),0,0,2024-10-21 08:13:00,1082,154,98,14,14
2024-08-02,Operation Tables,0,0,2024-08-02 12:41:00,850,121,29,4,4
2024-04-08,Operation Tables,0,0,2024-04-08 17:40:00,756,102,51,7,7
2023-08-08,Operation Tables,0,0,2023-08-08 21:49:00,870,130,77,11,11
2024-01-15,X-ray Machines,0,0,2024-01-15 19:56:00,819,122,268,37,37
2024-05-27,X-ray Machines,0,0,2024-05-27 06:01:00,1002,137,277,40,40
2024-05-22,Electrosurgical Units (Cautery),0,0,2024-05-22 22:58:00,856,120,84,11,11
2023-07-26,Infusion Pumps / Syringe Pumps,0,0,2023-07-26 07:26:00,1015,142,355,49,49
2023-10-14,Bedside Lockers,0,1,2023-10-14 02:24:00,822,116,434,62,62
2024-09-23,Ultrasound Machines,0,0,2024-09-23 23:07:00,715,100,181,24,24
2024-11-21,Oxygen Cylinders / Central Oxygen Supply,0,0,2024-11-21 07:04:00,879,125,384,55,55
2023-12-04,CT Scanners,0,0,2023-12-04 12:30:00,890,128,103,16,16
2024-08-15,Defibrillators,0,0,2024-08-15 16:37:00,914,135,22,1,1
2024-04-13,ECG Machines,0,1,2024-04-13 17:48:00,794,115,191,27,27
2023-01-17,Anesthesia Machines,0,0,2023-01-17 00:07:00,726,110,1,0,0
2024-02-19,Oxygen Cylinders / Central Oxygen Supply,0,0,2024-02-19 06:22:00,867,123,329,47,47
2023-09-15,Infusion Pumps / Syringe Pumps,0,0,2023-09-15 13:18:00,742,108,301,40,40
2024-09-08,Defibrillators,0,1,2024-09-08 07:22:00,852,126,63,6,6
2024-11-04,Operation Tables,0,0,2024-11-04 03:19:00,786,113,71,11,11
2024-01-22,Ventilators,0,0,2024-01-22 16:24:00,821,123,189,25,25
2023-06-30,Oxygen Cylinders / Central Oxygen Supply,0,0,2023-06-30 13:57:00,943,141,438,60,60
2024-06-06,Electrosurgical Units (Cautery),0,0,2024-06-06 21:07:00,786,119,61,10,10
2023-08-18,Oxygen Cylinders / Central Oxygen Supply,0,0,2023-08-18 04:59:00,1004,142,356,53,53
2023-04-01,CT Scanners,0,1,2023-04-01 05:30:00,847,116,142,18,18
2024-12-12,Stretchers,0,0,2024-12-12 04:07:00,765,116,179,24,24
2023-03-27,X-ray Machines,0,0,2023-03-27 02:13:00,867,120,245,34,34
2023-11-23,Infusion Pumps / Syringe Pumps,0,0,2023-11-23 11:28:00,800,119,304,41,41
2024-12-13,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,0,2024-12-13 23:27:00,894,123,294,43,43
2023-10-26,Operation Tables,0,0,2023-10-26 07:54:00,732,111,41,6,6
2024-11-19,Anesthesia Machines,0,0,2024-11-19 09:36:00,935,139,15,5,5
2024-07-15,Stretchers,0,0,2024-07-15 18:13:00,760,104,103,16,16
2023-08-07,CT Scanners,0,0,2023-08-07 18:18:00,938,132,46,9,9
2023-09-04,CT Scanners,0,0,2023-09-04 12:03:00,786,113,66,11,11
2023-06-15,Stretchers,0,0,2023-06-15 17:25:00,884,132,163,25,25
2024-05-30,"Patient Monitors (ECG, BP, SpO2)",0,0,2024-05-30 21:00:00,838,119,391,54,54
2023-09-24,Defibrillators,0,1,2023-09-24 12:02:00,730,99,74,10,10
2024-02-06,Ventilators,0,0,2024-02-06 07:54:00,666,99,111,14,14
2023-08-10,Defibrillators,0,0,2023-08-10 23:11:00,879,124,7,0,0
2024-01-08,CT Scanners,0,0,2024-01-08 20:33:00,873,118,67,11,11
2023-08-02,Bedside Lockers,0,0,2023-08-02 11:03:00,683,99,348,50,50
2023-10-26,Bedside Lockers,0,0,2023-10-26 22:55:00,689,102,383,56,56
2024-01-15,Crash Carts,0,0,2024-01-15 06:25:00,831,125,65,7,7
2023-01-24,Suction Machines,0,0,2023-01-24 09:57:00,831,122,172,26,26
2023-05-24,Bedside Lockers,0,0,2023-05-24 10:27:00,823,122,499,71,71
2024-07-10,Infusion Pumps / Syringe Pumps,0,0,2024-07-10 00:57:00,668,98,240,38,38
2024-09-13,Ultrasound Machines,0,0,2024-09-13 20:00:00,972,146,261,37,37
2023-11-17,"Patient Monitors (ECG, BP, SpO2)",0,0,2023-11-17 08:48:00,917,128,368,54,54
2024-08-03,Defibrillators,0,1,2024-08-03 13:20:00,831,123,52,8,8
2023-12-28,Defibrillators,0,0,2023-12-28 23:57:00,795,112,47,7,7
2024-09-16,Defibrillators,0,0,2024-09-16 19:21:00,720,97,20,3,3
2023-05-29,"Patient Monitors (ECG, BP, SpO2)",0,0,2023-05-29 13:38:00,1007,137,429,61,61
2023-11-27,Stretchers,0,0,2023-11-27 09:59:00,786,111,151,22,22
2023-03-24,X-ray Machines,0,0,2023-03-24 19:27:00,896,124,226,33,33
2024-12-10,X-ray Machines,0,0,2024-12-10 21:07:00,806,116,213,32,32
2024-12-30,Anesthesia Machines,0,0,2024-12-30 14:55:00,790,109,33,6,6
2023-06-09,"Patient Monitors (ECG, BP, SpO2)",0,0,2023-06-09 02:50:00,637,96,306,46,46
2024-05-28,Surgical Lights,1,0,2024-05-28 13:29:00,843,127,43,7,7
2023-02-21,Bedside Lockers,0,0,2023-02-21 19:48:00,816,119,424,60,60
2023-12-23,Ultrasound Machines,0,1,2023-12-23 01:41:00,740,101,169,24,24
2024-06-05,Stretchers,0,0,2024-06-05 15:42:00,706,104,162,20,20
2023-01-10,X-ray Machines,0,0,2023-01-10 04:51:00,887,126,282,38,38
2024-12-15,Sterilization Equipment (Autoclaves),0,1,2024-12-15 19:09:00,797,113,73,10,10
2023-03-07,Surgical Lights,0,0,2023-03-07 06:21:00,855,123,87,12,12
2024-10-16,CT Scanners,0,0,2024-10-16 15:42:00,661,95,71,13,13
2024-11-19,Electrosurgical Units (Cautery),0,0,2024-11-19 10:18:00,869,123,62,7,7
2023-07-11,Surgical Instrument Sets,0,0,2023-07-11 17:44:00,798,115,40,8,8
2023-06-29,Electrosurgical Units (Cautery),0,0,2023-06-29 16:17:00,686,99,41,5,5
2024-12-13,ECG Machines,0,0,2024-12-13 01:20:00,778,117,300,39,39
2023-10-22,Defibrillators,0,1,2023-10-22 07:18:00,849,118,3,0,0
2024-12-12,Electrosurgical Units (Cautery),0,0,2024-12-12 19:47:00,665,101,18,0,0
2024-04-14,Suction Machines,0,1,2024-04-14 22:21:00,943,129,208,30,30
2023-02-06,Wheelchairs,0,0,2023-02-06 11:18:00,775,110,206,28,28
2024-09-04,Ventilators,0,0,2024-09-04 18:10:00,837,115,125,20,20
2023-07-28,Ventilators,0,0,2023-07-28 10:46:00,767,106,106,16,16
2023-04-04,Electrosurgical Units (Cautery),0,0,2023-04-04 14:56:00,923,132,64,9,9
2023-11-21,Stretchers,0,0,2023-11-21 10:07:00,767,111,89,15,15
2023-09-25,Electrosurgical Units (Cautery),0,0,2023-09-25 00:02:00,829,116,53,10,10
2024-01-14,Crash Carts,0,1,2024-01-14 12:46:00,962,140,24,5,5
2024-12-13,Infusion Pumps / Syringe Pumps,0,0,2024-12-13 14:06:00,936,139,320,47,47
2023-05-20,"Patient Monitors (ECG, BP, SpO2)",0,1,2023-05-20 04:52:00,847,122,427,60,60
2024-10-28,"Patient Monitors (ECG, BP, SpO2)",0,0,2024-10-28 11:37:00,746,104,319,45,45
2024-05-23,Ventilators,0,0,2024-05-23 18:55:00,812,122,129,19,19
2023-08-27,Bedside Lockers,0,1,2023-08-27 15:42:00,840,121,451,65,65
2023-12-26,Crash Carts,0,0,2023-12-26 02:14:00,815,116,18,0,0
2023-11-23,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,0,2023-11-23 01:23:00,788,110,241,33,33
2023-05-31,Crash Carts,0,0,2023-05-31 07:39:00,881,128,37,5,5
2024-07-14,Oxygen Cylinders / Central Oxygen Supply,0,1,2024-07-14 21:26:00,791,114,317,44,44
2024-04-26,Electrosurgical Units (Cautery),0,0,2024-04-26 04:34:00,757,115,52,9,9
2023-10-15,Electrosurgical Units (Cautery),0,1,2023-10-15 17:00:00,1026,140,58,8,8
2024-06-21,Ultrasound Machines,0,0,2024-06-21 02:25:00,780,116,201,29,29
2024-09-25,Bedside Lockers,0,0,2024-09-25 22:30:00,727,105,404,59,59
2023-06-24,Operation Tables,0,1,2023-06-24 20:44:00,698,96,87,11,11
2024-03-21,Electrosurgical Units (Cautery),0,0,2024-03-21 21:00:00,967,138,60,9,9
2024-07-06,X-ray Machines,0,1,2024-07-06 21:05:00,839,125,276,40,40
2023-09-17,Suction Machines,0,1,2023-09-17 01:47:00,758,114,160,26,26
2023-09-10,IV Stands,0,1,2023-09-10 09:20:00,959,137,449,65,65
2023-11-23,Crash Carts,0,0,2023-11-23 12:20:00,771,105,0,0,0
2023-05-02,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,0,2023-05-02 18:09:00,695,101,263,38,38
2023-12-16,Ventilators,0,1,2023-12-16 04:51:00,905,126,137,20,20
2024-08-09,Wheelchairs,0,0,2024-08-09 07:57:00,851,117,249,38,38
2024-09-11,"Patient Monitors (ECG, BP, SpO2)",0,0,2024-09-11 07:40:00,827,114,353,50,50
2024-09-12,Sterilization Equipment (Autoclaves),0,0,2024-09-12 21:38:00,895,126,141,19,19
2023-12-08,Anesthesia Machines,0,0,2023-12-08 06:54:00,831,121,37,5,5
2023-11-04,Surgical Instrument Sets,0,1,2023-11-04 12:08:00,831,114,76,12,12
2023-04-15,Suction Machines,0,1,2023-04-15 19:13:00,833,115,124,17,17
2024-12-11,Anesthesia Machines,0,0,2024-12-11 17:27:00,735,101,27,5,5
2024-08-21,Oxygen Cylinders / Central Oxygen Supply,1,0,2024-08-21 21:37:00,701,98,271,39,39
2023-10-29,IV Stands,0,1,2023-10-29 16:56:00,841,123,454,66,66
2024-08-26,CT Scanners,0,0,2024-08-26 00:48:00,853,118,137,20,20
2023-07-23,Suction Machines,0,1,2023-07-23 04:20:00,857,118,167,26,26
2024-01-03,ECG Machines,0,0,2024-01-03 18:32:00,850,115,227,29,29
2024-09-19,ECG Machines,0,0,2024-09-19 02:18:00,947,133,283,40,40
2024-11-14,ECG Machines,1,0,2024-11-14 21:29:00,856,117,213,31,31
2024-04-02,Infusion Pumps / Syringe Pumps,0,0,2024-04-02 05:29:00,912,136,336,46,46
2023-07-16,Defibrillators,0,1,2023-07-16 05:23:00,849,117,15,2,2
2023-12-02,Oxygen Cylinders / Central Oxygen Supply,1,1,2023-12-02 17:57:00,778,117,341,49,49
2024-07-04,Electrosurgical Units (Cautery),0,0,2024-07-04 14:21:00,826,118,31,4,4
2024-05-22,ECG Machines,0,0,2024-05-22 00:20:00,776,113,213,29,29
2023-08-12,ECG Machines,0,1,2023-08-12 05:07:00,816,110,190,28,28
2024-11-27,IV Stands,0,0,2024-11-27 19:40:00,895,129,450,64,64
2023-10-03,Anesthesia Machines,0,0,2023-10-03 17:03:00,859,128,64,10,10
2023-09-06,X-ray Machines,0,0,2023-09-06 03:04:00,799,114,216,31,31
2023-06-03,Ultrasound Machines,0,1,2023-06-03 06:11:00,778,118,256,34,34
2024-11-02,Anesthesia Machines,0,1,2024-11-02 15:31:00,923,129,36,8,8
2024-03-09,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,1,2024-03-09 20:23:00,730,111,267,39,39
2024-06-25,IV Stands,0,0,2024-06-25 04:38:00,772,105,390,55,55
2024-09-04,Oxygen Cylinders / Central Oxygen Supply,0,0,2024-09-04 15:22:00,708,105,273,40,40
2024-08-02,Crash Carts,0,0,2024-08-02 11:58:00,891,123,0,0,0
2024-07-06,Infusion Pumps / Syringe Pumps,0,1,2024-07-06 16:14:00,605,89,203,28,28
2024-05-14,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,0,2024-05-14 03:58:00,775,116,306,43,43
2023-04-25,Wheelchairs,0,0,2023-04-25 18:28:00,881,120,247,37,37
2024-04-15,Suction Machines,0,0,2024-04-15 18:45:00,782,113,169,25,25
2023-01-15,Surgical Instrument Sets,0,1,2023-01-15 16:51:00,836,120,81,12,12
