equipment,date,recorded_at,total_patients_last_day,total_patients_last_7_days,total_usage_last_day,total_usage_last_7_days,value,is_holiday,is_weekend
"Stretchers",2026-04-14,2026-04-17T20:23:14.527932,1,7,0,0,0,false,false
"Oxygen Cylinders / Central Oxygen Supply",2026-04-14,2026-04-17T20:23:14.527932,1,7,0,0,3,false,false
"Ventilators",2026-04-14,2026-04-17T20:23:14.527932,1,7,1,7,9,false,false
"MRI Machines",2026-04-14,2026-04-17T20:23:14.527932,1,7,0,0,2,false,false
"Patient Monitors (ECG, BP, SpO2)",2026-04-14,2026-04-17T20:24:14.527914,1,7,0,0,0,false,false
"CT Scanners",2026-04-14,2026-04-17T20:24:14.527914,1,7,0,0,0,false,false
"Wheelchairs",2026-04-14,2026-04-17T20:24:14.527914,1,7,0,0,0,false,false
"Stretchers",2026-04-14,2026-04-17T20:24:14.527914,1,7,0,0,0,false,false
"Oxygen Cylinders / Central Oxygen Supply",2026-04-14,2026-04-17T20:24:14.527914,1,7,0,0,3,false,false
"Ventilators",2026-04-14,2026-04-17T20:24:14.527914,1,7,1,7,9,false,false
"MRI Machines",2026-04-14,2026-04-17T20:24:14.527914,1,7,0,0,2,false,false
"Patient Monitors (ECG, BP, SpO2)",2026-04-14,2026-04-17T20:25:14.541895,1,7,0,0,0,false,false
"CT Scanners",2026-04-14,2026-04-17T20:25:14.541895,1,7,0,0,0,false,false
"Wheelchairs",2026-04-14,2026-04-17T20:25:14.541895,1,7,0,0,0,false,false
"Stretchers",2026-04-14,2026-04-17T20:25:14.541895,1,7,0,0,0,false,false
"Oxygen Cylinders / Central Oxygen Supply",2026-04-14,2026-04-17T20:25:14.541895,1,7,0,0,3,false,false
"Ventilators",2026-04-14,2026-04-17T20:25:14.541895,1,7,1,7,9,false,false
"MRI Machines",2026-04-14,2026-04-17T20:25:14.541895,1,7,0,0,2,false,false
"Patient Monitors (ECG, BP, SpO2)",2026-04-14,2026-04-17T20:26:14.546891,1,7,0,0,0,false,false
"CT Scanners",2026-04-14,2026-04-17T20:26:14.546891,1,7,0,0,0,false,false
"Wheelchairs",2026-04-14,2026-04-17T20:26:14.546891,1,7,0,0,0,false,false
"Stretchers",2026-04-14,2026-04-17T20:26:14.546891,1,7,0,0,0,false,false
"Oxygen Cylinders / Central Oxygen Supply",2026-04-14,2026-04-17T20:26:14.546891,1,7,0,0,3,false,false
"Ventilators",2026-04-14,2026-04-17T20:26:14.546891,1,7,1,7,9,false,false
"MRI Machines",2026-04-14,2026-04-17T20:26:14.546891,1,7,0,0,2,false,false
"Patient Monitors (ECG, BP, SpO2)",2026-04-14,2026-04-17T19:35:05.458075,1,7,0,0,0,false,false
"CT Scanners",2026-04-14,2026-04-17T19:35:05.458075,1,7,0,0,0,false,false
"Wheelchairs",2026-04-14,2026-04-17T19:35:05.458075,1,7,0,0,0,false,false
"Stretchers",2026-04-14,2026-04-17T19:35:05.458075,1,7,0,0,0,false,false
"Oxygen Cylinders / Central Oxygen Supply",2026-04-14,2026-04-17T19:35:05.458075,1,7,0,0,3,false,false
"Ventilators",2026-04-14,2026-04-17T19:35:05.458075,1,7,1,7,9,false,false
"MRI Machines",2026-04-14,2026-04-17T19:35:05.458075,1,7,0,0,2,false,false
